Referencia;Atributo;Valor
LFNSSM-B-119;Talla:select,Color:select;L,Verde
LFNSSM-B-119;Talla:select,Color:select;L,Violeta
LFNSSM-B-119;Talla:select,Color:select;L,Azul
LFNSSM-B-121;Talla:select,Color:select;S,Rojo
LFNSSM-B-121;Talla:select,Color:select;S,Violeta
LFNSSM-B-121;Talla:select,Color:select;S,Negro
LFNSSM-B-121;Talla:select,Color:select;M,Rojo
LFNSSM-B-121;Talla:select,Color:select;M,Violeta
LFNSSM-B-121;Talla:select,Color:select;M,Negro
LFNSSM-B-121;Talla:select,Color:select;L,Rojo
LFNSSM-B-121;Talla:select,Color:select;L,Violeta
LFNSSM-B-121;Talla:select,Color:select;L,Negro
LFNSSM-B-122;Talla:select,Color:select;S,Negro
LFNSSM-B-122;Talla:select,Color:select;S,Rojo
LFNSSM-B-122;Talla:select,Color:select;S,Verde
LFNSSM-B-122;Talla:select,Color:select;S,Blanco
LFNSSM-B-122;Talla:select,Color:select;M,Negro
LFNSSM-B-122;Talla:select,Color:select;M,Rojo
LFNSSM-B-122;Talla:select,Color:select;M,Verde
LFNSSM-B-122;Talla:select,Color:select;M,Blanco
LFNSSM-B-122;Talla:select,Color:select;L,Negro
LFNSSM-B-122;Talla:select,Color:select;L,Rojo
LFNSSM-B-122;Talla:select,Color:select;L,Verde
LFNSSM-B-122;Talla:select,Color:select;L,Blanco
LFNSSM-B-123;Talla:select,Color:select;S,Azul Claro
LFNSSM-B-123;Talla:select,Color:select;S,Verde
LFNSSM-B-123;Talla:select,Color:select;S,Violeta
LFNSSM-B-123;Talla:select,Color:select;S,Rojo
LFNSSM-B-123;Talla:select,Color:select;M,Azul Claro
LFNSSM-B-123;Talla:select,Color:select;M,Verde
LFNSSM-B-123;Talla:select,Color:select;M,Violeta
LFNSSM-B-123;Talla:select,Color:select;M,Rojo
LFNSSM-B-123;Talla:select,Color:select;L,Azul Claro
LFNSSM-B-123;Talla:select,Color:select;L,Verde
LFNSSM-B-123;Talla:select,Color:select;L,Violeta
LFNSSM-B-123;Talla:select,Color:select;L,Rojo
LFNSSM-B-124;Talla:select,Color:select;S,Violeta
LFNSSM-B-124;Talla:select,Color:select;S,Azul
LFNSSM-B-124;Talla:select,Color:select;S,Amarillo
LFNSSM-B-124;Talla:select,Color:select;S,Rosa
LFNSSM-B-124;Talla:select,Color:select;M,Violeta
LFNSSM-B-124;Talla:select,Color:select;M,Azul
LFNSSM-B-124;Talla:select,Color:select;M,Amarillo
LFNSSM-B-124;Talla:select,Color:select;M,Rosa
LFNSSM-B-124;Talla:select,Color:select;L,Violeta
LFNSSM-B-124;Talla:select,Color:select;L,Azul
LFNSSM-B-124;Talla:select,Color:select;L,Amarillo
LFNSSM-B-124;Talla:select,Color:select;L,Rosa
LFNSSM-BAT-02;Talla:select;Talla única
LFNSSM-BAT-03;Talla:select;Talla única
LFNSSM-BAT-04;Talla:select;Talla única
LFNSSM-BAT-05;Talla:select;Talla única
LFNSSM-BAT-4000;Talla:select;Talla única
LFNSSM-CHE-6000;Talla:select,Color:select;Talla única,Blanco
LFNSSM-CHE-6002;Talla:select,Color:select;Talla única,Blanco
LFNSSM-CHE-6003;Talla:select,Color:select;Talla única,Blanco
LFNSSM-CHE-6007;Talla:select;Talla única
LFNSSM-CHE-6008;Talla:select;Talla única
LFNSSM-CHE-6011;Talla:select;Talla única
LFNSSM-CHE-6015;Talla:select;Talla única
LFNSSM-CHE-6019;Talla:select,Color:select;Talla única,Negro
LFNSSM-CHE-6021;Talla:select,Color:select;Talla única,Negro
LFNSSM-CHE-6021;Talla:select,Color:select;Talla única,Salmon
LFNSSM-CHE-6021;Talla:select,Color:select;Talla única,Amarillo
LFNSSM-CHE-6023;Talla:select,Color:select;Talla única,Rojo
LFNSSM-CHE-6023;Talla:select,Color:select;Talla única,Azul
LFNSSM-CHE-6025;Talla:select,Color:select;Talla única,Purpura
LFNSSM-CHE-6027;Talla:select,Color:select;Talla única,Negro
LFNSSM-CHE-6027;Talla:select,Color:select;Talla única,Rosa
LFNSSM-CHE-6051;Talla:select;Talla única
LFNSSM-CHE-6056;Talla:select;Talla única
LFNSSM-CHE-6069;Talla:select;Talla única
LFNSSM-CHE-6070;Talla:select;Talla única
LFNSSM-CON-8001;Talla:select,Color:select;S,Blanco
LFNSSM-CON-8001;Talla:select,Color:select;M,Blanco
